Date	Landkreise mit Inzidenz (Cases_Last_Week_Per_100000) > 50
2020-08-18	0
2020-08-19	0
2020-08-20	1
2020-08-21	1
2020-08-22	2
2020-08-23	1
2020-08-24	1
2020-08-25	1
2020-08-26	1
2020-08-27	1
2020-08-28	0
2020-08-29	0
2020-08-30	0
2020-08-31	0
2020-09-01	0
2020-09-02	0
2020-09-03	0
2020-09-04	1
2020-09-05	2
2020-09-06	3
2020-09-07	3
2020-09-08	4
2020-09-09	3
2020-09-10	3
2020-09-11	4
2020-09-12	3
2020-09-13	3
2020-09-14	3
2020-09-15	5
2020-09-16	5
2020-09-17	5
2020-09-18	5
2020-09-19	5
2020-09-20	4
2020-09-21	4
2020-09-22	6
2020-09-23	4
2020-09-24	4
2020-09-25	6
2020-09-26	5
2020-09-27	5
2020-09-28	5
2020-09-29	5
2020-09-30	7
2020-10-01	7
2020-10-02	8
2020-10-03	8
2020-10-04	8
2020-10-05	9
2020-10-06	12
2020-10-07	21
2020-10-08	27
2020-10-09	36
2020-10-10	42
2020-10-11	46
2020-10-12	51
2020-10-13	60
2020-10-14	74
2020-10-15	87
2020-10-16	110
2020-10-17	122
2020-10-18	133
2020-10-19	149
2020-10-20	172
2020-10-21	210
2020-10-22	239
2020-10-23	256
2020-10-24	284
2020-10-25	296
2020-10-26	303
2020-10-27	322
2020-10-28	341
2020-10-29	356
2020-10-30	362
2020-10-31	366
2020-11-01	367
2020-11-02	374
2020-11-03	372
2020-11-04	376
2020-11-05	380
2020-11-06	381
2020-11-07	383
2020-11-08	385
2020-11-09	386
2020-11-10	388
2020-11-11	384
2020-11-12	383
2020-11-13	383
2020-11-14	381
2020-11-15	382
2020-11-16	382
2020-11-17	383
2020-11-18	385
2020-11-19	383
2020-11-20	386
2020-11-21	386
2020-11-22	386
2020-11-23	389
2020-11-24	390
2020-11-25	392
2020-11-26	394
2020-11-27	393
2020-11-28	390
2020-11-29	391
2020-11-30	389
2020-12-01	387
2020-12-02	387
2020-12-03	387
2020-12-04	386
2020-12-05	386
2020-12-06	385
2020-12-07	389
2020-12-08	386
